Control Name,English,Romanian
lblUniversityAnsPolLong,"""After finishing my studies, I would have been sent [by the state] to go as a teacher somewhere in the countryside [as it was mandatory].” - Journalist
University was mostly for students to obtain technical degress that would help in industrialization, construction, education, and health. After graduating, students were sent anywhere in the country where there was a need for 'repartisare.' University was especially attractive to young men because they could shorten their mandatory military service.","""După terminarea studiilor, eram trimis să merg ca profesor undeva în mediul rural prin repartizare guvernamentală."" - Jurnalist
Universitatea a fost o modalitate pentru studenți de se specializa în domenii precum industrializare, construcții, educație și sănătate. După absolvire, studenții au fost trimiși oriunde în țara pe baza principiului 'repartizării.' Universitatea a fost deosebit de atractivă pentru tineri, deoarece scurta  perioada serviciului militar obligatoriu."
lblUniversityAns,"""After finishing my studies, I would have been sent [by the state] to go as a teacher somewhere in the countryside [as it was mandatory].” - Journalist
","""După terminarea studiilor, eram trimis să merg ca profesor undeva în mediul rural prin repartizare guvernamentală."" - Jurnalist"
lblUniversityQ,Why did young people choose to go to university?,De ce alegeau tinerii să meargă la universitate? 
lblEmigrationAnsPolLong,"""One of [the Securitate] bosses got invited to a conference in West Germany and they selected me to be a translator... they were testing me. I then defected."" - Journalist
Emigration was nearly impossible and trying to escape the country was met with rejection, arrest, and imprisonment. You could only leave if you were a sportsman or had special permission. You were forced to provide information to the regime upon your return.
","""Am devenit foarte atrăgător pentru Securitate ca student vorbitor de limbă germană. Au avut nevoie de un traducător care să însoțească un tânăr secretar al comitetului central al tinerilor comuniști. Unul dintre șefii lor a fost invitat la o conferință în Germania de Vest și m-au selectat să fiu traducător.... de fapt era un test din partea lor. Apoi am dezertat."" - Jurnalist
Emigrarea a fost aproape imposibilă și încercarea de a scăpa din țară a fost întâmpinată cu respingere, arestare și închisoare. Puteai pleca doar dacă erai  sportiv sau exista o permisiune specială dată de Partid. La întoarcere erai forțat să furnizezi informaţii regimului."
lblEmigrationAns,"""One of [the Securitate] bosses got invited to a conference in West Germany and they selected me to be a translator... they were testing me. I then defected."" - Journalist","""Unul dintre șefii lor [ai Securității]  a fost invitat la o conferință în Germania de Vest și m-au selectat să fiu traducător.... de fapt era un test din partea lor. Apoi am dezertat."" - Jurnalist"
lblEmigrationQ,What was the consequence for illegal emigration?,Care a fost pedeapsa pentru încercarea de a părăsi România?
lblYouthOrgAnsPolLong,"""The fourth grade [Pioneers promoted the students from] the second grade [to become] Pioneers"" - Museum Manager
Pioneers are a ranking in schools from 2nd-8th grade, which was indicated by wearing a red scarf. Pioneers were young children being prepared for future membership in the Communist Party. They participated in party festivals and training programs. Many school children wished to become Pioneer status because it gave them more social power in school.","""În clasa a patra [pionierii  promovau elevii de clasa a doua [pentru a deveni] la rândul lor pionieri."" - Manager de muzeu
Pionierii constituie un detașament în cadrul școlilor gimnaziale, clasele a 2-a și a 8-a, care se definea  prin purtarea unei eșarfe roșii. Pionierii au fost copii mici pregătiți pentru viitoarea aderare la Partidul Comunist. Au participat la festivalurile şi programele de instruire ale partidului . Mulți studenți s-au străduit să obțină statutul de pionieri, deoarece le-a dat mai multă putere socială în școală."
lblYouthOrgAns,"""The fourth grade [Pioneers promoted the students from] the second grade [to become] Pioneers"" - Museum Manager","¨În clasa a patra [pionierii  promovau elevii de clasa a doua [pentru a deveni] la rândul lor pionieri."" - Manager de muzeu"
lblYouthOrgQ,What did being a pioneer in grade school mean?,Ce însemna să fii pionier?
lblDemonstrationAnsPolLong,"“You were not supposed to understand why, you were just obliged to do it. This way, they manipulated you to lose your inner self and become a part of collectivity.” - Museum Manager
Civilians were forced to attend Communist Party state festivities that promoted communist ideologies and praising Nicolae Ceaușescu. Consequences for not attending could include being fired from your job or invasive surveillance.","“Nu trebuia să  înțelegi de ce, erai doar obligat să o faci. În acest fel, erai manipulat să-ți pierzi sinele interior și să devii parte a colectivului.” - Museum Manager
Civilii au fost forțați să participe la festivitățile de stat ale Partidului Comunist care promovau ideologia comunistă și îl lăudau pe Nicolae Ceaușescu. Consecințele pentru a nu participa puteau varia de la concedierea de la locul de muncă sau intrai în colimatorul Securității"
lblDemonstrationQ,What were communist state festivities?,Care erau festivitățile de stat ale regimului comunist?
lblDemonstrationAns,"“You were not supposed to understand why, you were just obliged to do it. This way, they manipulated you to lose your inner self and become a part of collectivity.” - Museum Manager","“Nu trebuia să  înțelegi de ce, erai doar obligat să o faci. În acest fel, erai manipulat să-ți pierzi sinele interior și să devii parte a colectivului.” - Museum Manager"
lblMediaAnsPolLong,"""We didn't have TV, you know. It was only for two hours during the evening when the whole program was only about Ceaușescu. It was nothing else."" - Museum Director
Books, movies, and news were available but all were censored to control information and prevent criticism of the regime. The role of the media was to spread state propaganda, convincing people that Ceaușescu was a great leader and that life was better than it really was. Products forbidden by the state, especially music and literature, could only be found on the black market.","""Nu am avut TV, ştiţi. Erau doar două ore seara când tot programul era doar despre Ceauşescu. Nu era difuzat nimic altceva."" - Director de muzeu
Cărți, filme și știri au fost disponibile, dar toate cenzurate pentru a controla informațiile și pentru a preveni criticile la adresa regimului. Rolul televiziunii, al presei și radioului a fost de a răspândi propaganda de stat, convingând oamenii că Ceauşescu era un mare lider şi că viaţa era mai bună decât era în realitate. Produsele interzise de cenzură, în special literatura și muzica, au fost vândute pe piața negră."
lblMediaAns,"""We didn't have TV, you know. It was only for two hours during the evening when the whole program was only about Ceaușescu. It was nothing else."" - Museum Director","""Nu am avut TV, ştiţi. Erau doar două ore seara când tot programul era doar despre Ceauşescu. Nu era difuzat nimic altceva."" - Director de muzeu"
lblMediaQ,What type of media was available?,La ce tipuri de media exista acces? 
lblRationAnsPolLong,"""We have to deal with rations, because if we want to buy usual stuff like oil or gas or bread or meat or butter, we have to have the cards, the tickets for the rations."" - Museum Director
Rations = fixed amount of goods that citizens are allowed to consume in times of shortages. Rations were placed on basic necessities like food, cooking oil, soaps, gasoline, electricity, and heating.","""Trebuia să ne gestionăm raţiile de hrană alocate de stat, pentru că achiziția de lucruri obişnuite, cum ar fi petrol sau gaz, pâine sau carne sau unt se baza întotdeauna pe cartele de hrană."" - Director Muzeu
Rație = cantitatea fixă de bunuri pe care cetățenii au voie să o consume în perioade de penurie. Rațiile au fost plasate pe necesități de bază, cum ar fi alimente, ulei de gătit, săpunuri, benzină, electricitate și încălzire."
lblRationAns,"""We have to deal with rations, because if we want to buy usual stuff like oil or gas or bread or meat or butter, we have to have the cards, the tickets for the rations."" - Museum Director","""Trebuia să ne gestionăm raţiile de hrană alocate de stat, pentru că achiziția de lucruri obişnuite, cum ar fi petrol sau gaz, pâine sau carne sau unt se baza întotdeauna pe cartele de hrană."" - Director Muzeu"
lblRationQ,What products were rationed?,Ce fel de produse erau supuse raționalizării?
lblChildhoodAnsPolLong,"""Parents fought to create some sense of normalcy in the midst of the disaster that was reality."" - School Teacher
Many children were protected from the harshness of life by their parents but some still knew that the propaganda was lies. Children had to do chores, wait in the ration queues, and do homework in the dark. But, they still had hobbies and played with their friends.","""Părinții s-au luptat pentru a crea un sentiment de normalitate în mijlocul dezastrului care a fost realitatea."" - Profesor de școală
Mulți copii au fost protejați de duritatea vieții de către părinții lor, dar unii știau că propaganda era minciună. Copiii trebuiau să facă activități de propagandă, să aștepte în cozile de rație și să-și facă temele în întuneric. "
lblChildhoodAns,"""Parents fought to create some sense of normalcy in the midst of the disaster that was reality."" - School Teacher","""Părinții s-au luptat pentru a crea un sentiment de normalitate în mijlocul dezastrului care a fost realitatea."" - Profesor de școală"
lblChildhoodQ,What was it like to be a child during this period?,Cum era să fii copil în comunism?
lblFoodAnsPolLong,"""Not because you didn't have money, but because you can not find other things."" - Museum Director
Food was scarce and there was no variety in stores. Basic necessities were rationed and of much worse quality compared to today. Queues to collect rations were long and often started in the very early morning. ","""Nu pentru că nu ai avut bani, ci pentru că nu poţi găsi alte lucruri."" - Director Muzeu
Mâncarea era insuficientă și nu exista varietate în magazine. Produsele de bază au fost raţionalizate şi de o calitate mult mai proastă în comparaţie cu cea de astăzi. Cozile pentru colectarea rațiilor erau  lungi și de multe ori începeau dimineața foarte devreme. "
lblFoodAns,"""Not because you didn't have money, but because you can not find other things."" - Museum Director","""Nu pentru că nu ai avut bani, ci pentru că nu poţi găsi alte lucruri."" - Director Muzeu"
lblFoodQ,How did people get food?,Cum își procurau oamenii hrana? 
lblSchoolAnsPolLong,"""We were like soldiers in school."" - Museum Manager
School was very strict. The party wanted to demonstrate how educated and proper its citizens were - kids were even required to write in ink in a calligraphy style. All classrooms had a portrait of Ceaușescu and students had to repeat chants about the Romanian Communist Party and how great Ceaușescu was every day. There were lessons about the communist ideology and students were punished for not being able to recite Ceaușescu's policies and speeches.","""Am fost ca soldații în școală."" - Manager de muzeu
Școala era foarte strictă. Partidul a vrut să demonstreze cât de educați și de integrabili erau cetățenii săi - copiii erau obligați să scrie cu cerneală, motivul ținea de dezvoltarea caligrafiei. Toate sălile de clasă aveau un portret al lui Ceauşescu, iar elevii trebuiau să fie îndoctrinați cu valorile Partidul Comunist Român şi despre cât de mărețe erau relizările lui Ceauşescu în fiecare zi. Erau și lecţii despre ideologia comunistă, iar elevii puteau fi pedepsiţi pentru că nu erua la zi cu  politicile şi discursurile lui Ceauşescu."
lblSchoolAns,"""We were like soldiers in school."" - Museum Manager","""Am fost ca soldații în școală."" - Manager de muzeu"
lblSchoolQ,What was school like?,Cum se învăța în comunism? 
lblDeportationAnsPolLong,"""In '51, just to have the image of the power of Securitate, one night in 18th of June '51 they deported about 44,000 people in a single night. I was only 3 months old.” - AFDPR Member
The Securitate forcefully relocated people that were perceived as dangerous to the Communist Party. The purpose of these camps was to re-educate these people and prevent uprisings. People were often falsely accused and relocated as a result. The conditions were rough and prisoners were rarely allowed to see thier families. ","'În '51, doar ca să vă faceți o imagine asupra puterii Securității, într-o singură noapte pe 18 iunie 1951 au deportat aproximativ 44000 de persoane într-o singură noapte. Eu aveam doar 3 luni.''
Securitatea a relocat cu forţa oameni care erau percepuţi ca periculoşi pentru Partidul Comunist. Scopul acestor tabere a fost de a reeduca aceste persoane și de a preveni revoltele. Oamenii au fost adesea acuzați în mod fals și relocați ca rezultat. Condițiile erau dure, iar prizonierilor li se permitea rareori să vadă familii mai înalte. "
lblDeportationQ,Who went to deportation camps?,Cine a fost deportat?
lblDeportationAns,"""Young people [who] wrote we want food, freedom on walls were seen as people who were dangerous to the regime and were [arrested]."" - Museographer ","""Tinerii [care] scriau că vrem mâncare, libertatea pe ziduri au fost văzuți ca un pericol pentru regim şi au fost [arestaţi]."" - Muzeograf "
lblPalaceAnsPolLong,"""The actual Romania didn't exist for me anymore. [Mainly] because the neighborhood where I lived, where I was born, my house, my street, my neighborhood was pulled down."" - Journalist
The Palace of Parliament was originally known as the House of the People when Ceauseșcu ordered for it's constrcution. Construction began in the 1980s, part of Ceauseșcu's goal to rebuild and mimic the capital city of North Korea. Seven square kilometers of neighborhoods were destroyed to make room for the House of the People. Part of the money for this project came for relief funds for earthquake victims and cost the country more than 3 billion Euros.","""România reală nu mai exista pentru mine. [În principal] pentru că întreg cartierul în care am locuit, unde m-am născut, casa mea, strada mea au fost demolate.""- Jurnalist
Palatul Parlamentului a fost inițial cunoscut sub numele de Casa Poporului atunci când Ceaușescu a ordonat construcția. Totul a început în anii 1980, parte a obiectivului lui Ceaușeșcu de a reconstrui și imita capitala Coreei de Nord. Șapte kilometri pătrați de cartiere au fost distruse pentru a face loc Casei Poporului. O parte din banii pentru acest proiect au venit prin fonduri de ajutorare pentru victimele cutremurului, iar costul final al proiectului de depășit 3 miliarde de euro."
lblPalaceQ,What did the House of the People Represent?,Pentru ce a fost construită Casa Poporului?
lblPalaceAns,"""The actual Romania didn't exist for me anymore. [Mainly] because the neighborhood where I lived, where I was born, my house, my street, my neighborhood was pulled down."" - Journalist","""România reală nu mai exista pentru mine. [În principal] pentru că întreg cartierul în care am locuit, unde m-am născut, casa mea, strada mea au fost demolate.""- Jurnalist"
lblFearAnsPolLong,"""We thought that our destiny was completely destroyed but we did not complain. Just fought."" - AFDPR Member
People living under communism felt a mix of fear, anger, frustration, and hopelessness. Fear came from constantly being watched and reported. Frustration came from extreme shortages and harsh rules. Deep inside, many people still held onto hope. They dreamed of freedom and a better life.","""Am crezut că destinul nostru a fost complet distrus, dar nu ne-am plâns. Am luptat."" - Membru AFDPR
Oamenii care sub comunism au simțit un amestec de frică, furie, frustrare și lipsă de speranță. Frica a venit pe fundalul de a fi urmărit și raportat în mod constant. Frustrarea s-a datorat  lipsurilor extreme și a regulilor dure. În adâncul sufletului, mulți oameni încă mai aveau speranță. Visau la libertate şi la o viaţă mai bună."
lblFearQ,What emotions did people feel while living under communism?,Care au fost principalele emoții trăite de oameni în comunism? 
lblFearAns,"""We thought that our destiny was completely destroyed but we did not complain. Just fought."" - AFDPR Member","""Am crezut că destinul nostru a fost complet distrus, dar nu ne-am plâns. Am luptat."" - Membru AFDPR"
lblReligionAnsPolLong,"""My father was a priest which was an unhealthy origin."" - History Teacher
Those who came from religious families were said to have unhealthy origins. Students that went to church on Sundays could be punished by their teachers and could prevent them from having other opportunities such as getting into a university.","""Tatăl meu a fost un preot cu origine nesănătoasă."" - Învățător de istorie
Cei care proveneau din familii religioase erau catalogați ca având origini nesănătoase. Elevii care mergeau la biserică duminica puteau fi pedepsiţi de profesorii lor şi puteau suferi consecințe mult mai ample, cum ar fi limitarea accesului la studii universitare."
lblReligionQ,How did people follow their faith?,Care era statutul religiei în comunism? 
lblReligionAns,"""My father was a priest which was an unhealthy origin."" - History Teacher","""Tatăl meu a fost un preot cu origine nesănătoasă."" - Învățător de istorie"
lblExportsAnsPolLong,"""The economy was going so badly due to Ceaușescu's poor leadership and idiotic investments in heavy industries… unsustainable, no raw materials, no energy, not enough of a work force."" - Activist
Romania exported a lot of products, especially during the 1980s, to pay off foreign debts. These exports included food like grains, meat, and oil, machinery, textiles, and cars. The state sent loads of resources to other countries while Romanians at home faced extreme shortages and empty shelves.","""Economia mergea atât de rău din cauza conducerii slabe a lui Ceauşescu şi a investiţiilor idioate în industriile grele, nesustenabile, fără materii prime, fără energie, fără suficientă forţă de muncă."" - Activist
România exporta produse în anii 80 pentru a plăti datoriile externe. Erau alimente precum cereale, carne și ulei, mașini, textile și utilaje. Statul a exportart resurse esențiale, în timp ce românii de acasă s-au confruntat cu lipsuri extreme și rafturi goale."
lblExportsQ,What Romanian products were exported?,Ce tipuri de produse românești erau exportate? 
lblExportsAns,"""The economy was going so badly due to Ceaușescu's poor leadership and idiotic investments in heavy industries… unsustainable, no raw materials, no energy, not enough of a work force."" - Activist","""Economia mergea atât de rău din cauza conducerii slabe a lui Ceauşescu şi a investiţiilor idioate în industriile grele, nesustenabile, fără materii prime, fără energie, fără suficientă forţă de muncă."" - Activist"
lblInfluenceAnsPolLong,"""The Romanian people were not allowed to cross the border. We were not allowed to read [foreign magazines]. We couldn't find them. We were not allowed to read the foreign newspapers."" - AFDPR Member
No relationships with foreigners were allowed unless they were reported and approved by the Communist Party. Romanians were harshly limited on places they could travel to and it was hard to obtain visas for travel. Contacting people in foreign countries, even family member, was harshly regulated. ","""Poporul român nu avea voie să treacă frontiera. Nu ni s-a permis să citim [reviste străine].Nu le-am putut găsi. Nu ni s-a permis să citim ziarele străine."" - Membru AFDPR
Nu erau fost permise relaţiile cu străinii decât dacă erau raportate şi aprobate de Partidul Comunist. Românii erau extrem de limitați în locurile în care puteau călători și era greu să obțină vize pentru călătorii. Contactarea persoanelor din țări străine, chiar și a membrilor de familie care locuiau în vest, a fost strict reglementată. "
lblInfluenceQ,How did Romanian's interact with people in foreign countries?,Cum interacționau românii cu cetățenii din țări străine?
lblInfluenceAns,"""The Romanian people were not allowed to cross the border. We were not allowed to read [foreign magazines]. We couldn't find them. We were not allowed to read the foreign newspapers."" - AFDPR Member","""Poporul român nu avea voie să treacă frontiera. Nu ni s-a permis să citim [reviste străine].Nu le-am putut găsi. Nu ni s-a permis să citim ziarele străine."" - Membru AFDPR"
lblPossesionsAnsPolLong,"""When the communists came, [citizens] had to give it away just like that. Everything that they had - cows, sheep, horses - it wasn't theirs. It was the government's."" - School Teacher
They were often confiscated, controlled, or heavily monitored. Items that the Securitate labeled as ""Western"" or anti-regime were destroyed or hidden. The state could seize property whenever they wanted and many people lived in fear of losing their belongings. This process was called ""collectivization"" and was a key part of Stalinism.","""Când au venit comuniştii, [cetăţenii] au trebuit să renunţe la proprietățile lor pur și simplu. Tot ce aveau - vaci, oi, cai - nu era al lor. A devenit proprietatea statului."" - Profesor de școală
Averile au fost confiscate, controlate și monitorizate de guvern. Bunuri pe care Securitatea le putea eticheta ca ""occidentale"" sau anti-regim au fost distruse sau ascunse. Statul putea să confiște bunurile private fără notificare, astfel că mulți cetățeni trăiau cu teama de a-și pierde bunurile. Acest proces a fost numit ""colectivizare"" și a fost o parte esențială a instaurării regimului comunist de tip stalinist în România."
lblPossesionsQ,What happened to people's private posessions?,Ce s-a întâmplat cu proprietatea privata? 
lblPossesionsAns,"""When the communists came, [citizens] had to give it away just like that. Everything that they had - cows, sheep, horses - it wasn't theirs. It was the government's."" - School Teacher","""Când au venit comuniştii, [cetăţenii] au trebuit să renunţe la proprietățile lor pur și simplu. Tot ce aveau - vaci, oi, cai - nu era al lor. A devenit proprietatea statului."" - Profesor de școală"
lblLanguageAnsPolLong,"""Ceaușescu, RCP. Ceaușescu, RCP."" - Museum Manager
Party figures spoke in a rigid, artifical style like ""wooden language."" It was a soulless way of talking that erased people's thoughts and expression. Words became like weapons of control and submission.","""Ceauşescu, PCR. Ceauşescu, PCR."" - Manager Muzeu
Figurile de partid vorbeau într-un stil rigid, artifical definit ca ""limbajul de lemn."" A fost un mod de exprimare fără substanță, superficial care fost folosit cu precădere pentru a nivela gândurile și expresivitatea oamenilor. Cuvintele au devenit  arme folosite pentru a controla și supune liberul arbitru."
lblLanguageQ,How did politicians speak during the time?,Cum vorbeau politicienii în acea perioadă? 
lblLanguageAns,"""Ceaușescu, RCP. Ceaușescu, RCP."" - Museum Manager","""Ceauşescu, PCR. Ceauşescu, PCR."" - Manager Muzeu"
lblPropogandaAnsPolLong,"""The Securitate’s weapon was propaganda. The [former] Securitate are good at changing history even now, contributing to today’s nostalgia [to return to communism]."" - Activist
Propaganda = newspapers, TV, posters and pedagogy were used to manipulate the thinking and influence of people's speech, all with the stated purpose of maintaining population control. PAD controlled all information and media, thus nurturing the cult of personality for Ceausescu, hence promoting socialist ideals through propaganda. This department within the Securitate was responsible for limiting and controlling cultural diversity in Romania","""Arma Securității a fost propaganda. [fosta] Securitatea a fost abilă în a schimba narativul istoric, efectele se văd chiar şi acum, ceea ce contribuie la menținerea nostalgiei de astăzi [de a reveni la regimul comunism]."" - Activist
Propaganda = ziare, TV, postere și pedagogie utilizate pentru a manipula gândirea și influența vorbirea oamenilor, totul cu scopul declarat de a menține controlul populației. DPA controla toate informaţiile şi mass-media, hrănind astfel cultul personalității  pentru Ceauşescu, promovând astfel idealurile socialiste prin propagandă. Acest departament din cadrul Securității a fost responsabil de  limitarea  și controlarea diversității culturale în România. "
lblPropogandaQ,What was the role of the Securitate's Propaganda & Agitation Department (PAD)?,Departamentului de Agitație și Propanda din cadrul Securității?
lblPropogandaAns,"""The Securitate’s weapon was propaganda. The [former] Securitate are good at changing history even now, contributing to today’s nostalgia [to return to communism]."" - Activist","""Arma Securității a fost propaganda. [fosta] Securitatea a fost abilă în a schimba narativul istoric, efectele se văd chiar şi acum, ceea ce contribuie la menținerea nostalgiei de astăzi [de a reveni la regimul comunism]."" - Activist"
lblConsequencesAnsPolLong,"""Two other women were in the same cell, but not political prisoners, were there for “common” reasons. One was selling medicine illegally, and the other was doing illegal abortions."" - AFDPR Member
Political detainees were people that the Securitate perceived as being threats to the regime due to expressing any opposition to the state ideology. They faced imprisonment and after being freed, they were discriminated against, surveilled, and forced to take low end jobs. ","""Două alte femei se aflau în aceeaşi celulă, dar nu în calitate de deținuți politic, erau acolo din motive de infracțiuni de drept comun. Una vindea medicamente în mod ilegal, iar celălală făcea avorturi ilegale."" - Membru AFDPR
Deținuții politic erau persoane pe care Securitatea le percepea ca fiind amenințări la adresa regimului din cauza exprimării oricărei opoziții față de ideologia de stat. Ei s-au confruntat cu închisoarea și, după ce au fost eliberați, au fost discriminați, supravegheați și  forțați să-și ia locuri de muncă subcalificate și prost plătite. 

"
lblConsequencesQ,What happened to political detainees and their families?,Ce s-a întâmplat cu deținuții politic și familiile acestora? 
lblConsequencesAns,"""Two other women were in the same cell, but not political prisoners, were there for “common” reasons. One was selling medicine illegal, and the other was doing illegal abortions."" - AFDPR Member","""Două alte femei se aflau în aceeaşi celulă, dar nu în calitate de deținuți politic, erau acolo din motive de infracțiuni de drept comun. Una vindea medicamente în mod ilegal, iar celălală făcea avorturi ilegale."" - Membru AFDPR"
lblSecuritateAnsPolLong,"""I felt extremely cornered... The Securitate was testing me."" - Journalist.
The Securitate used informants as a form of spying on citizens, the role of snitches was to track people around, intercept correspondence and listen to phone calls. Any person, including a minor, could be forced to be a Securitate informant. If you were accepting to become an informer there were benefits such as food tickets, better jobs for you and your family.","""M-am simțit extrem de încolțit... Securitatea mă testa."" - Jurnalist.
Securitatea a folosit informatorii ca o formă de spionaj asupra cetățenilor, rolul turnătorilor era de a urmări oamenii din jur, a intercepta corespondența și asculta telefoanele. Orice persoană, inclusiv minoră, putea fi constrânsă să să fie informator al Securității. Dacă acceptai să devii informator existau beneficii cum ar fi bilete la alimente, locuri de muncă mai bune pentru tine și familia ta. "
lblSecuritateQ,What was the main tool of oppression?,Care a fost principalul mecanism de represiune? 
lblSecuritateAns,"""I felt extremely cornered… the Securitate were testing me."" - Journalist","M-am simțit extrem de încolțit... Securitatea mă testa."" - Jurnalist."
lblStopEngineersAnsPolLong,"“Four months after the earthquake [in 1977, my father, an engineer and hundreds others] were all called for a meeting with Ceauşescu [to discuss the structural rigidity of the buildings] - it was the first time my father saw him in person.  During this meeting, Ceauşescu told roughly 300 people in this meeting ‘Everybody stops [their plans to strengthen these damaged buildings], if you continue, I'll have police and prosecutors take care of you, they will arrest you, anyone who continues even inspecting more buildings will be arrested.’ my father made a note of many buildings that Securitate members lived that had been reinforced, or excepted from this order.” - Activist","""La patru luni după cutremurul din 1977, tatăl meu, inginer, împreună cu alte sute de persoane, au fost chemați la o întâlnire cu Ceaușescu pentru a discuta despre rigiditatea structurală a clădirilor – a fost prima dată când tatăl meu l-a văzut în persoană. În cadrul acestei întâlniri, Ceaușescu le-a spus celor aproximativ 300 de oameni prezenți: „Toată lumea oprește [planurile de consolidare a acestor clădiri avariate], dacă continuați, voi trimite poliția și procurorii după voi, veți fi arestați, oricine continuă, chiar și doar să inspecteze alte clădiri, va fi arestat.” Tatăl meu a notat multe clădiri în care locuiau membri ai Securității care fuseseră consolidate sau exceptate de la acest ordin.'' - Activist "
lblStopEngineersQ,"""If You Continue, You'll Be Arrested""","""Dacă veți continua vă vom aresta"""
lblStopEngineersAns,"""Four months after the earthquake [in 1977, my father, an engineer and hundreds others] were all called for a meeting with Ceaușescu…"" - Activist","""La patru luni dupa cutremur [in 1977] [Tatăl meu, inginer si alte sute] au fost chemați la o intâlnire cu Ceaușescu..."" - Activist"
lblCutPhoneLinesAnsPolLong,"""[The government] cut off our phone lines after my father was arrested, Securitate people were outside my house, they would follow me even just to buy bread. I would walk, and they would follow me by car, it was a measure of threat and intimidation. During that time, I could not speak with my sister from the home phone, so I would go to the post office and when I would go there, I would encounter the second investigator from the Securitate. They interrogated me too- and this guy, I would see him Oct-Nov 1985, and he would threaten me ‘again you? What are you doing here, watch out what you say.’ I would tell my sister, we would talk in code, she knew my father was arrested, she understood, he was sick, she would understand everything."" - Activist","""[Guvernul] ne-a tăiat liniile telefonice după ce tatăl meu a fost arestat, oamenii Securității erau în fața casei, mă urmăreau chiar și când cumpăram pâine. Mergeam şi mă urmăreau din maşină, era o modalitate de ameninţare şi intimidare. În acea perioadă, nu puteam vorbi cu sora mea de la telefonul de acasă, așa că mergeam la oficiul poștal și când mergeam acolo, mă întâlneam cu cel de-al doilea investigator de la Securitate. M-au interogat și pe mine - și pe tipul ăsta, l-am văzut între Oct-Nov 1985, și mă amenința mereu  ‘Tu din nou? Ce faci aici, ai grijă ce spui.’ Îi povesteam totul surorii mele, vorbeam în coduri, știa că tatăl meu a fost arestat, înțelegea, tatăl meu era bolnav, sora mea înțelegea totul."" - Activist"
lblCutPhoneLinesQ,Watch What You Say,Ai grijiă ce spui
lblCutPhoneLinesAns,"""[The government] cut off our phone lines after my father was arrested, Securitate people were outside my house, they would follow me even just to buy bread…"" - Activist","""[Guvernul] ne-a tăiat liniile telefonice după ce tatăl meu a fost arestat, oamenii Securității erau în fața casei, mă urmăreau chiar și când cumpăram pâine."" - Activist"
lblSwimmerKillerAnsPolLong,"""My father had a pipedream, an illusion, and we would joke on my escapades for the swim team I would bring back pieces of a gun and assemble it and kill Ceaușescu. It was a dark joke for us. Another dissident in the 80s- had the same plan as my father, to shoot Ceaușescu, and my father would say the same, he said ‘I shoot him, they catch and kill me, but I would rid 20 million people from this horrible fate.’"" - Activist","""Tatal meu avea un o idee utopică, o iluzie. Glumeam pornind de la turneele mele cu echipa de înot, urma să aduc inapoi acasă bucăți de arma și să le asamblăm ca să îl omorâm pe Ceaușescu. A fost o formă de umor negru pentru noi. Un alt disident, în anii '80,  avea același plan ca tatăl meu, să-l împuște pe Ceaușescu, iar tatăl meu spunea același lucru ‘îl împușc, mă prind și mă ucid, dar aș scăpa 20 de milioane de oameni de această soartă oribilă.’""  - Activist"
lblSwimmerKillerQ,My Father's Secret Plan,Planul secret al tatălui meu 
lblSwimmerKillerAns,"""My father had a pipedream, an illusion, and we would joke on my escapades for the swim team I would bring back pieces of a gun…"" - Activist","""Tatal meu avea un o idee utopică, o iluzie. Glumeam pornind de la turneele mele cu echipa de înot, urma să aduc inapoi acasă bucăți de arma și să le asamblăm."" - Activist"
